t,f,v1,v2,v3,v4,v5
1065,9.16E-07,1.356817864,1.305450095,0.051010696,0.000355518,1.55E-06
1070,6.61E-07,1.357076036,1.305833663,0.050884984,0.000355616,1.77E-06
1075,9.00E-07,1.357038734,1.305778555,0.05090301,0.000355602,1.57E-06
1080,5.56E-07,1.357402664,1.30631795,0.050727071,0.00035574,1.90E-06
1085,1.02E-06,1.357205236,1.306025884,0.050822198,0.000355665,1.49E-06
1090,2.81E-07,1.357932824,1.307100597,0.050473779,0.000355944,2.50E-06
1095,7.22E-07,1.357755907,1.306840678,0.050557637,0.000355876,1.72E-06
1100,4.70E-07,1.358068709,1.307301548,0.050409124,0.000355996,2.04E-06
1105,1.64E-06,1.357409664,1.306329308,0.050723379,0.000355743,1.23E-06
1110,8.50E-07,1.357767184,1.306857491,0.050552205,0.00035588,1.61E-06
1115,8.33E-07,1.357949441,1.307126401,0.050465468,0.00035595,1.62E-06
1120,1.05E-06,1.357948099,1.307124632,0.050466038,0.00035595,1.48E-06
1125,6.57E-07,1.3582938,1.307633161,0.050302768,0.000356084,1.79E-06
1130,5.60E-07,1.358580159,1.308053493,0.050168565,0.000356195,1.91E-06
1135,1.51E-06,1.358125503,1.307386304,0.050381901,0.000356019,1.28E-06
1140,7.88E-07,1.358493116,1.307926136,0.050209156,0.000356161,1.66E-06
1145,1.49E-06,1.358335347,1.307694965,0.050282993,0.0003561,1.29E-06
1150,5.37E-07,1.358892475,1.308510932,0.050023284,0.000356318,1.94E-06
1155,5.00E-07,1.359224868,1.308996461,0.049869958,0.000356449,2.00E-06
1160,9.28E-07,1.358999756,1.308668367,0.049973468,0.00035636,1.56E-06
1165,1.40E-06,1.35882251,1.308409451,0.050055445,0.00035629,1.32E-06
1170,1.07E-06,1.359026915,1.308708186,0.049960884,0.000356371,1.47E-06
1175,8.66E-07,1.35926164,1.309050678,0.049852893,0.000356463,1.61E-06
1180,8.81E-07,1.359391765,1.309240385,0.04979327,0.000356515,1.60E-06
1185,4.02E-07,1.359931483,1.310024175,0.049548389,0.00035673,2.19E-06
1190,1.10E-06,1.359566404,1.309494847,0.04971351,0.000356584,1.46E-06
1195,5.48E-07,1.35997539,1.310088228,0.04952848,0.000356748,1.93E-06
1200,4.99E-07,1.360261868,1.310503075,0.04939992,0.000356863,2.01E-06
1205,1.64E-06,1.359668509,1.309643656,0.049666982,0.000356625,1.25E-06
1210,7.21E-07,1.360094437,1.310261072,0.049474837,0.000356796,1.73E-06
1215,7.08E-07,1.360307838,1.310569953,0.049379256,0.000356882,1.75E-06
1220,1.21E-06,1.360134323,1.310319317,0.049456785,0.000356812,1.41E-06
1225,1.12E-06,1.360245307,1.310479918,0.049407079,0.000356856,1.45E-06
1230,9.07E-07,1.360460241,1.310790474,0.04931124,0.000356943,1.58E-06
1235,5.37E-07,1.360873195,1.311385481,0.049128645,0.000357111,1.96E-06
1240,1.58E-06,1.360453015,1.310780492,0.049314315,0.00035694,1.27E-06
1245,1.08E-06,1.360686037,1.3111165,0.049211023,0.000357035,1.48E-06
1250,1.08E-06,1.360816969,1.311305195,0.049153205,0.000357088,1.48E-06
1255,1.48E-06,1.360783815,1.31125769,0.049167748,0.000357075,1.30E-06
1260,8.76E-07,1.361110472,1.311727294,0.049024359,0.000357208,1.61E-06
1265,8.02E-07,1.361315819,1.312022078,0.048934779,0.000357292,1.67E-06
1270,8.92E-07,1.361389651,1.31212808,0.048902647,0.000357323,1.60E-06
1275,7.63E-07,1.361577531,1.312397146,0.048821278,0.0003574,1.71E-06
1280,1.04E-06,1.361529464,1.312328597,0.048841983,0.00035738,1.50E-06
1285,9.07E-07,1.361683571,1.312549083,0.048775453,0.000357444,1.59E-06
1290,1.37E-06,1.36159558,1.312423498,0.048813324,0.000357408,1.35E-06
1295,3.69E-07,1.362264187,1.313376906,0.048527309,0.000357686,2.29E-06
1300,1.19E-06,1.36192722,1.312897571,0.048670675,0.000357545,1.43E-06
1305,1.36E-06,1.361917518,1.31288382,0.048674801,0.000357541,1.36E-06
1310,1.06E-06,1.362120792,1.313173683,0.048587985,0.000357626,1.50E-06
1315,1.66E-06,1.362051481,1.313075177,0.048617453,0.000357597,1.25E-06
1320,2.88E-07,1.36283797,1.314191989,0.048285521,0.000357927,2.53E-06
1325,7.79E-07,1.362746243,1.314063053,0.048323602,0.000357889,1.70E-06
1330,4.81E-07,1.363084965,1.314542573,0.048182296,0.000358032,2.06E-06
1335,1.08E-06,1.36275355,1.314073718,0.048320449,0.000357892,1.49E-06
1340,5.19E-07,1.363170658,1.314663909,0.048146678,0.000358068,2.00E-06
1345,1.49E-06,1.362772196,1.314100431,0.048312556,0.0003579,1.31E-06
1350,9.11E-07,1.363052059,1.314496651,0.048195791,0.000358018,1.60E-06
1355,1.65E-06,1.362919923,1.314309971,0.048250731,0.000357962,1.26E-06
1360,1.55E-06,1.36303544,1.314473557,0.04820258,0.000358011,1.29E-06
1365,1.34E-06,1.363197783,1.314703168,0.048135166,0.00035808,1.37E-06
1370,4.06E-07,1.363828151,1.315591305,0.04787628,0.00035835,2.22E-06
1375,4.07E-07,1.364193672,1.316105068,0.047727879,0.000358508,2.22E-06
1380,1.64E-06,1.363495607,1.315124013,0.048012121,0.000358207,1.27E-06
1385,6.86E-07,1.363919836,1.315720896,0.047838754,0.00035839,1.80E-06
1390,1.65E-06,1.363676204,1.315378663,0.047937993,0.000358285,1.26E-06
1395,1.56E-06,1.363781784,1.315527333,0.047894828,0.00035833,1.29E-06
1400,4.86E-07,1.364368824,1.316350972,0.047657201,0.000358584,2.07E-06
1405,3.22E-07,1.364896483,1.317088697,0.047446527,0.000358814,2.44E-06
1410,1.36E-06,1.364243772,1.316176567,0.047707305,0.00035853,1.37E-06
1415,6.38E-07,1.364623618,1.31670811,0.047554957,0.000358695,1.86E-06
1420,1.40E-06,1.364391817,1.3163842,0.047647668,0.000358594,1.35E-06
1425,7.16E-07,1.364761395,1.316900904,0.047499961,0.000358755,1.77E-06
1430,1.05E-06,1.364738622,1.31686942,0.047508933,0.000358746,1.52E-06
1435,1.12E-06,1.364788437,1.316939108,0.04748908,0.000358767,1.48E-06
1440,1.47E-06,1.364770489,1.316914234,0.047496164,0.00035876,1.33E-06
1445,1.54E-06,1.364847122,1.317021347,0.047465675,0.000358793,1.31E-06
1450,1.04E-06,1.365107295,1.317384119,0.047362736,0.000358908,1.53E-06
1455,1.06E-06,1.365225815,1.317549314,0.047316024,0.00035896,1.52E-06
1460,1.25E-06,1.365258512,1.31759499,0.047303126,0.000358974,1.42E-06
1465,4.60E-07,1.365801348,1.318348527,0.047091477,0.000359215,2.13E-06
1470,1.14E-06,1.365562849,1.318018291,0.04718397,0.000359109,1.48E-06
1475,1.48E-06,1.365505648,1.31793899,0.047206242,0.000359084,1.33E-06
1480,6.34E-07,1.365952158,1.318557977,0.047033026,0.000359283,1.87E-06
1485,1.66E-06,1.365678677,1.318179468,0.047138777,0.000359161,1.27E-06
1490,9.19E-07,1.365991679,1.318613091,0.047017672,0.000359301,1.61E-06
1495,1.34E-06,1.365964561,1.318575833,0.047028051,0.000359289,1.39E-06
1500,1.13E-06,1.366126585,1.318800063,0.046965671,0.000359361,1.49E-06
1505,6.92E-07,1.366463925,1.319265928,0.046836672,0.000359513,1.81E-06
1510,8.48E-07,1.366527525,1.319353911,0.0468124,0.000359542,1.67E-06
1515,4.60E-07,1.366940805,1.319922769,0.046656168,0.000359729,2.14E-06
1520,1.50E-06,1.36647018,1.319275228,0.046834105,0.000359516,1.33E-06
1525,1.66E-06,1.366491432,1.31930464,0.046825989,0.000359526,1.28E-06
1530,1.58E-06,1.366606315,1.319463121,0.046782313,0.000359578,1.30E-06
1535,1.14E-06,1.36683275,1.319774928,0.046696655,0.00035968,1.49E-06
1540,1.18E-06,1.366937668,1.319919379,0.046657095,0.000359728,1.47E-06
1545,1.63E-06,1.366912795,1.319885394,0.046666395,0.000359717,1.29E-06
1550,6.64E-07,1.367362988,1.32050322,0.046497995,0.000359922,1.85E-06
1555,5.45E-07,1.367680614,1.320938275,0.046380266,0.000360069,2.01E-06
1560,7.94E-07,1.367639561,1.320882456,0.046395331,0.00036005,1.72E-06
1565,1.36E-06,1.367423258,1.320586517,0.0464754,0.00035995,1.39E-06
1570,6.96E-07,1.367782821,1.321078386,0.0463425,0.000360116,1.82E-06
1575,7.24E-07,1.36794207,1.321296135,0.046283953,0.00036019,1.79E-06
1580,5.93E-07,1.368171153,1.32160869,0.046200224,0.000360296,1.94E-06
1585,1.45E-06,1.367810571,1.321116975,0.046332112,0.000360129,1.35E-06
1590,1.38E-06,1.367893471,1.321230276,0.046301642,0.000360167,1.38E-06
1595,9.63E-07,1.368139721,1.321566274,0.046211565,0.000360281,1.60E-06
1600,9.69E-07,1.368266631,1.321739369,0.046165324,0.000360341,1.60E-06
1605,3.70E-07,1.368819375,1.322490459,0.045965963,0.000360599,2.35E-06
1610,4.37E-07,1.369065235,1.322824288,0.045878027,0.000360715,2.21E-06
1615,1.26E-06,1.368524845,1.322091291,0.046071653,0.000360461,1.44E-06
1620,8.30E-07,1.368739906,1.322383385,0.045994256,0.000360562,1.70E-06
1625,7.35E-07,1.368931242,1.322643094,0.045925705,0.000360652,1.79E-06
1630,6.24E-07,1.369145698,1.322933749,0.045849282,0.000360754,1.91E-06
1635,1.63E-06,1.36877155,1.322426928,0.045982745,0.000360577,1.30E-06
1640,8.80E-07,1.369080526,1.322845749,0.045872387,0.000360723,1.67E-06
1645,3.63E-07,1.369633895,1.323593575,0.045676953,0.000360986,2.38E-06
1650,6.90E-07,1.369586241,1.323529932,0.045693505,0.000360963,1.84E-06
1655,5.35E-07,1.369789827,1.323804528,0.045622197,0.00036106,2.04E-06
1660,9.04E-07,1.369603813,1.323553925,0.045687263,0.000360972,1.65E-06
1665,1.04E-06,1.369569758,1.323508039,0.045699202,0.000360955,1.56E-06
1670,1.57E-06,1.369472992,1.323377566,0.045733192,0.000360909,1.33E-06
1675,9.87E-07,1.369735266,1.3237315,0.045641134,0.000361034,1.60E-06
1680,1.28E-06,1.36975033,1.323752046,0.045635804,0.000361042,1.44E-06
1685,1.05E-06,1.369922422,1.323983996,0.045575743,0.000361124,1.56E-06
1690,7.31E-07,1.3702005,1.324358162,0.045479275,0.000361258,1.80E-06
1695,1.15E-06,1.370120218,1.324250519,0.045506975,0.000361219,1.51E-06
1700,6.87E-07,1.370427315,1.324663045,0.045401051,0.000361368,1.85E-06
1705,1.30E-06,1.370263555,1.324443485,0.045457349,0.000361289,1.43E-06
1710,1.27E-06,1.370343791,1.324551347,0.04542967,0.000361327,1.45E-06
1715,1.41E-06,1.370402341,1.324630111,0.045409485,0.000361356,1.39E-06
